"id","age","size","bo","is_bo_geq_2"
1,0,27.05,27000,1
2,23,49.98,22000,1
3,15,60.74,25000,1
4,0,29.94,28000,1
5,0,37.36,30000,1
6,17,48.94,22800,1
7,17,48.94,22800,1
8,6,29.7,24000,1
9,10,32.06,13000,0
10,24,27.65,11500,0
11,27,58.23,23800,1
12,2,29.58,25000,1
13,4,29.81,23000,1
14,7,29.82,21000,1
15,18,26.06,11000,0
16,0,26.93,25500,1
17,17,81.24,36200,1
18,17,44.62,18000,0
19,26,57.03,30000,1
20,0,27.84,26500,1
21,14,108.21,42000,1
22,0,41.09,32000,1
23,33,44.1,25000,1
24,18,74.19,30000,1
25,4,29.63,24150,1
26,14,39.89,22000,1
27,15,71.84,30000,1
28,13,51.92,20700,1
29,24,51.9,25500,1
30,20,28.81,12000,0
31,14,37.65,14000,0
32,14,25.74,11000,0
33,17,40.2,17000,0
34,18,29.61,12000,0
35,19,22.69,11000,0
36,14,56.46,22000,1
37,25,33.16,12600,0
38,18,81.83,9500,0
39,0,22.42,20000,1
40,28,23.56,7500,0
41,2,26.67,19950,0
42,1,18.38,21000,1
43,2,34.85,24000,1
44,4,25.98,18900,0
45,2,26.96,23600,1
46,12,50.01,17850,0
47,30,77.31,31500,1
48,24,62.8,20000,1
49,9,18.38,17000,0
50,0,59.95,49000,1
51,0,59.95,50000,1
52,0,59.95,47000,1
53,30,56.07,19950,0
54,0,59.95,48000,1
55,25,17.82,4500,0
56,13,50.02,30000,1
57,30,66.55,35000,1
58,1,29.7,28350,1
59,4,26.18,24255,1
60,2,29.87,23000,1
61,2,20.05,15500,0
62,1,21.32,14000,0
63,35,105.44,10000,0
64,8,16.22,22000,1
65,6,29.91,22000,1
66,20,74.34,26250,1
67,5,57.34,33000,1
68,7,27.29,19425,0
69,4,27.66,24250,1
70,20,80.48,32000,1
71,14,35.8,16000,0
72,5,27.71,26000,1
73,1,21.88,20000,1
74,16,76.35,31000,1
75,0,29.95,28000,1
76,1,15.3,24400,1
77,2,29.56,31000,1
78,4,28.4,31000,1
79,4,29.33,24700,1
80,4,29.28,22050,1
81,1,27.38,22000,1
82,2,38.85,21000,1
83,8,12.46,14000,0
84,0,29.76,29000,1
85,2,23.86,19950,0
86,0,19.39,16000,0
87,8,30.16,20900,1
88,0,29.89,23000,1
89,2,24.13,18900,0
90,8,23.04,13650,0
91,0,29.52,27000,1
92,0,29.17,22000,1
93,0,28.92,26000,1
94,0,17.07,12000,0
95,0,19.39,17000,0
96,0,16.07,17000,0
97,0,29.59,30000,1
98,0,24.25,16000,0
99,2,29.34,19950,0
100,2,29.83,22000,1
101,2,29.83,25200,1
102,4,26.13,25200,1
103,2,28.57,24150,1
104,3,33.29,30000,1
105,15,76.35,30250,1
106,5,34.97,26700,1
107,4,28.68,24000,1
108,13,50.36,24000,1
109,5,35.74,25200,1
110,5,28.45,24150,1
111,2,29.84,29400,1
112,8,13.68,14500,0
113,2,29.83,24500,1
114,2,29.76,23600,1
115,18,39.96,24000,1
116,3,29.2,23400,1
117,13,53.04,24000,1
118,14,43.12,18500,0
119,0,29.88,30000,1
120,12,60.1,30450,1
121,4,27.14,22000,1
122,0,28.93,28000,1
123,6,29.47,25000,1
124,14,38.66,22050,1
125,5,28.18,26250,1
126,0,28.69,26000,1
127,0,29.86,30000,1
128,2,27.08,17800,0
129,0,29.52,28000,1
130,27,79.23,25000,1
131,4,28.3,24500,1
132,8,13.95,13000,0
133,30,68.48,41300,1
134,39,60.66,14000,0
135,8,12.91,15100,0
136,8,16.87,13500,0
137,3,29.87,28500,1
138,8,12.19,14000,0
139,2,26.83,24150,1
140,2,29.92,23000,1
141,0,17.31,17000,0
142,30,71.43,28650,1
143,4,17.38,16000,0
144,0,17.85,16000,0
145,3,28.98,20000,1
146,30,79.27,33600,1
147,4,28.92,22600,1
148,4,36.34,18900,0
149,3,28.16,25200,1
150,2,26.83,22050,1
151,7,45.255,21000,1
152,7,45.255,22000,1
153,2,28.14,21000,1
154,0,27.88,25000,1
155,13,50.16,15750,0
156,4,36.96,35000,1
157,6,28.4,22000,1
158,5,29.57,23100,1
159,5,20.06,15750,0
160,5,20.06,16530,0
161,14,29.52,20000,1
162,6,26.41,29000,1
163,6,26.41,24100,1
164,19,53.28,35000,1
165,5,14.52,16000,0
166,50,76.53,21200,1
167,49,111.84,12500,0
168,25,42.13,33000,1
169,1,29.8,62000,1
170,1,26.85,33000,1
171,14,23.04,11000,0
172,19,51.32,14000,0
173,28,59.88,30000,1
174,37,40.71,11600,0
175,0,26.51,36000,1
176,0,27.6,35500,1
177,44,77.88,19000,0
178,29,32.74,10000,0
179,18,124.57,181800,1
180,0,24.43,53000,1
181,23,113.73,140000,1
182,8,150.79,256100,1
183,28,129.31,1e+05,1
184,18,74.95,37000,1
185,18,74.95,37000,1
186,22,136.12,73500,1
187,31,53.13,18000,0
188,3,53.58,65000,1
189,3,53.58,65000,1
190,12,61.19,45000,1
191,4,41.07,30500,1
192,17,70.74,18000,0
193,25,28.88,12500,0
