build_y,year,month,day,dong,bo_price,mo_price,apt_nm,size,jibun,ji_code,floor
2021,2021,8,2, 후암동,"    27,000",         0,"아인하우스(1,2동)",27.05,258-8,11170,3
1998,2021,8,4, 후암동,"    22,000",         0,중앙그린빌라(27-7),49.98,27-7,11170,4
2006,2021,8,4, 후암동,"    25,000",         0,훼미리빌,60.74,303-1,11170,5
2021,2021,8,5, 후암동,"    28,000",         0,"아인하우스(1,2동)",29.94,258-8,11170,4
2021,2021,8,7, 후암동,"    30,000",         0,용산 센트럴파크 평화1차,37.36,265-14,11170,3
2004,2021,8,11, 후암동,"    15,300",        25,(156-7),48.94,156-7,11170,4
2004,2021,8,11, 후암동,"    15,300",        25,(156-7),48.94,156-7,11170,4
2015,2021,8,12, 후암동,"    24,000",         0,평화타운3차,29.7,55-9,11170,2
2011,2021,8,12, 후암동,"    13,000",         0,평화빌리지,32.06,358-2,11170,3
1997,2021,8,13, 후암동,"     1,000",        35,(409-98),27.65,409-98,11170,1
1994,2021,8,13, 후암동,"    13,000",        36,현대하이츠빌라(가),58.23,190-17,11170,4
2019,2021,8,14, 후암동,"    25,000",         0,더스위트N타워,29.58,41-11,11170,2
2017,2021,8,14, 후암동,"    23,000",         0,43-13,29.81,43-13,11170,5
2014,2021,8,15, 후암동,"    21,000",         0,평화타운2,29.82,254-21,11170,4
2003,2021,8,16, 후암동,"    11,000",         0,(392-1),26.06,392-1,11170,5
2021,2021,8,21, 후암동,"    25,500",         0,"아인하우스(1,2동)",26.93,258-8,11170,3
2004,2021,8,23, 후암동,"    36,200",         0,짱가,81.24,55-10,11170,4
2004,2021,8,23, 후암동,"    18,000",         0,(30-72),44.62,30-72,11170,2
1995,2021,8,25, 후암동,"    30,000",         0,새한그린빌라,57.03,55-5,11170,2
2021,2021,8,26, 후암동,"    26,500",         0,"아인하우스(1,2동)",27.84,258-8,11170,2
2007,2021,8,28, 후암동,"    42,000",         0,한성주택12차,108.21,244-110,11170,5
2021,2021,8,28, 후암동,"    32,000",         0,용산 센트럴파크 평화1차,41.09,265-14,11170,2
1988,2021,8,28, 후암동,"    25,000",         0,(335-3),44.1,335-3,11170,2
2003,2021,8,29, 후암동,"    30,000",         0,(138-5),74.19,138-5,11170,3
2017,2021,8,30, 후암동,"    24,150",         0,43-13,29.63,43-13,11170,2
2007,2021,8,31, 후암동,"     1,000",        70,(30-61),39.89,30-61,11170,3
2006,2021,8,3, 용산동2가,"    30,000",         0,반석빌라,71.84,1-171,11170,1
2008,2021,8,8, 용산동2가,"    14,700",        20,정일아트빌(1-1930),51.92,1-1930,11170,3
1997,2021,8,12, 용산동2가,"    12,000",        45,(1-612),51.9,1-612,11170,2
2001,2021,8,17, 용산동2가,"    12,000",         0,세명빌라,28.81,1-1611,11170,1
2007,2021,8,18, 용산동2가,"    14,000",         0,(20-14),37.65,20-14,11170,3
2007,2021,8,20, 용산동2가,"    11,000",         0,남산타워,25.74,1-558,11170,2
2004,2021,8,1, 갈월동,"    17,000",         0,그린텔,40.2,22,11170,5
2003,2021,8,12, 갈월동,"    12,000",         0,이정빌라,29.61,7-40,11170,3
2002,2021,8,4, 동자동,"    11,000",         0,거성아트빌,22.69,19-42,11170,4
2007,2021,8,7, 동자동,"    22,000",         0,(22-53),56.46,22-53,11170,3
1996,2021,8,2, 서계동,"    12,600",         0,(253-2),33.16,253-2,11170,3
2003,2021,8,22, 서계동,       500,        30,(251-40),81.83,251-40,11170,1
2021,2021,8,2, 청파동1가,"    20,000",         0,행복신양,22.42,58-14,11170,3
1993,2021,8,2, 청파동1가,"     7,500",         0,홍은빌라,23.56,1-57,11170,1
2019,2021,8,2, 청파동1가,"    19,950",         0,89-67,26.67,89-67,11170,2
2020,2021,8,3, 청파동1가,"    21,000",         0,(1-13),18.38,1-13,11170,4
2019,2021,8,12, 청파동1가,"    24,000",         0,보광VILL,34.85,117-2,11170,3
2017,2021,8,13, 청파동1가,"    18,900",         0,청파시온빌,25.98,91-54,11170,2
